"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          76,      -6.592528584,      -6.995211065,      -7.044625586,       -5.94476682
          0,           0,          77,       -6.61774502,       -7.01202606,      -7.079524332,      -5.967029923
          0,           0,          78,      -6.649255113,      -7.024289655,        -7.1067722,      -5.988717873
          0,           0,          79,      -6.680175997,        -7.0494177,      -7.139455437,      -6.030352084
          0,           0,          80,      -6.711666147,      -7.072347913,      -7.176377657,      -6.059352035
          0,           0,          81,      -6.749634352,      -7.093089185,      -7.213475403,      -6.087869584
          0,           0,          82,      -6.785570895,      -7.125526912,      -7.246920389,      -6.134427422
          0,           0,          83,      -6.821310121,      -7.156135591,      -7.291633284,      -6.168014788
          0,           0,          84,      -6.862358574,      -7.185567042,      -7.330614687,      -6.200184976
          0,           0,          85,      -6.899937413,      -7.222502646,      -7.369843033,      -6.248064245
          0,           0,          86,      -6.935837514,      -7.258168153,      -7.414147279,      -6.282272928
          0,           0,          87,      -6.976260223,      -7.290635984,      -7.457158805,      -6.313810348
          0,           0,          88,        -7.0130836,       -7.32897117,      -7.493587466,      -6.361112432
          0,           0,          89,      -7.049113999,      -7.365929661,      -7.539287044,      -6.395236549
          0,           0,          90,      -7.091129667,      -7.399905789,      -7.578133397,      -6.428449295
          0,           0,          91,      -7.130646034,      -7.439383647,       -7.61540218,      -6.477950004
          0,           0,          92,      -7.170214761,      -7.477897666,       -7.65878321,      -6.515888317
          0,           0,          93,      -7.218165002,      -7.514869294,      -7.699477535,      -6.554745868
          0,           0,          94,      -7.262355791,      -7.557107206,      -7.736648016,      -6.608732409
          0,           0,          95,      -7.307298783,       -7.59959024,      -7.782492386,      -6.652313143
          0,           0,          96,      -7.363532122,      -7.642014741,      -7.827717821,      -6.699576315
          0,           0,          97,      -7.413819992,      -7.689133938,      -7.867282067,      -6.759558931
          0,           0,          98,      -7.466121904,      -7.738432861,      -7.917432004,      -6.811021719
          0,           0,          99,      -7.533047349,      -7.790651395,      -7.969301971,      -6.869061456
          0,           0,         100,      -7.586873208,      -7.846477297,      -8.011890093,      -6.933495274
          0,           0,         101,      -7.639568146,      -7.905085459,      -8.063306151,      -6.985950999
          0,           0,         102,      -7.704931904,      -7.966318398,       -8.11679307,      -7.042045857
          0,           0,         103,      -7.748484128,      -8.026201646,      -8.158317647,      -7.098390459
          0,           0,         104,      -7.785836503,      -8.088222518,       -8.20753193,      -7.135796892
          0,           0,         105,      -7.831741578,      -8.142421786,      -8.255406989,      -7.171365921
          0,           0,         106,       -7.85976148,      -8.190601353,      -8.290512776,      -7.212604091
          0,           0,         107,      -7.881825377,      -8.236026376,      -8.335999745,        -7.2334818
          0,           0,         108,      -7.910540362,      -8.261034405,      -8.367875393,      -7.251195142
          0,           0,         109,      -7.932748239,      -8.290871821,      -8.401784336,      -7.285289027
          0,           0,         110,      -7.947478008,      -8.309839373,      -8.432360158,      -7.298332732
          0,           0,         111,      -7.965884971,      -8.317708077,      -8.460086309,      -7.306335539
          0,           0,         112,      -7.984988451,      -8.333137412,      -8.478993675,      -7.336348026
          0,           0,         113,      -7.996933863,      -8.344979114,      -8.509955615,      -7.346174656
          0,           0,         114,      -8.009822544,      -8.347251807,       -8.51825511,      -7.349702034
          0,           0,         115,      -8.028557782,      -8.363860272,      -8.542476999,      -7.378502201
          0,           0,         116,      -8.041341598,       -8.37387516,      -8.559414318,      -7.389025874
          0,           0,         117,      -8.052281748,      -8.379898109,      -8.574496352,      -7.391359965
          0,           0,         118,      -8.072977375,      -8.397557115,      -8.588286974,      -7.421638321
          0,           0,         119,      -8.088014861,      -8.410679378,      -8.614630016,      -7.434366989
          0,           0,         120,       -8.10211224,      -8.419962586,      -8.622143847,      -7.440445363
          0,           0,         121,      -8.125901256,      -8.441252783,      -8.646804643,      -7.473328604
          0,           0,         122,      -8.145814958,      -8.456684747,      -8.668274729,      -7.490983537
          0,           0,         123,      -8.163002086,      -8.469900227,      -8.688568902,      -7.500604512
          0,           0,         124,      -8.191180579,      -8.494100747,      -8.709078721,      -7.537504489
          0,           0,         125,      -8.215178673,      -8.513366461,      -8.741491301,      -7.559355554
          0,           0,         126,       -8.23850596,      -8.531858211,      -8.760283684,      -7.575407187
          0,           0,         127,      -8.270669649,      -8.559916687,      -8.791029429,      -7.615985891
          0,           0,         128,      -8.300475262,      -8.583823509,      -8.822329111,      -7.643690524
          0,           0,         129,        -8.3282714,      -8.607121876,      -8.852418464,       -7.66451082
          0,           0,         130,      -8.364993092,      -8.639337946,      -8.881928335,      -7.709424009
          0,           0,         131,      -8.397543425,      -8.667720276,      -8.917769595,      -7.739986884
          0,           0,         132,      -8.427972847,      -8.695632478,      -8.948474453,      -7.763772492
          0,           0,         133,      -8.465008407,      -8.730107154,      -8.982511342,      -7.809113881
          0,           0,         134,      -8.499291607,      -8.761258762,      -9.019333995,      -7.841434876
          0,           0,         135,      -8.533579153,      -8.791537201,      -9.058189586,      -7.869085145
          0,           0,         136,      -8.576356326,      -8.829430995,      -9.096330575,      -7.920003672
          0,           0,         137,      -8.619253022,      -8.864798724,      -9.140108895,      -7.960505656
          0,           0,         138,      -8.665532757,      -8.901394745,       -9.18579869,      -7.999933345
          0,           0,         139,      -8.716893119,      -8.945118006,      -9.230378444,      -8.059268009
          0,           0,         140,       -8.77087108,      -8.988193172,      -9.283270875,      -8.110910486
          0,           0,         141,      -8.830122904,      -9.034211813,      -9.337078687,      -8.163197603
          0,           0,         142,       -8.89296899,      -9.084186523,      -9.393745082,      -8.220881033
          0,           0,         143,      -8.951088144,      -9.136611632,       -9.44758519,      -8.291056752
          0,           0,         144,       -9.01536192,      -9.190573058,      -9.509101767,      -8.354144844
          0,           0,         145,      -9.088317197,      -9.250344489,      -9.571430613,      -8.420497303
          0,           0,         146,      -9.142328556,      -9.310079155,      -9.626325948,      -8.486884093
          0,           0,         147,      -9.198130143,      -9.373612248,      -9.682993624,      -8.541228501
          0,           0,         148,      -9.253066987,      -9.436732625,      -9.730361967,      -8.588680864
          0,           0,         149,      -9.280284536,      -9.497599697,      -9.777139266,      -8.633155031
          0,           0,         150,      -9.305830664,      -9.554079139,      -9.812745134,      -8.655158511
          0,           0,         151,       -9.33079555,      -9.603102824,      -9.839350172,      -8.670218874
          0,           0,         152,      -9.337168855,      -9.642083371,      -9.857553834,       -8.69251359
          0,           0,         153,      -9.346424333,      -9.675051307,      -9.882414104,      -8.697427147
          0,           0,         154,      -9.354982613,      -9.689289069,      -9.875722256,      -8.695136884
          0,           0,         155,      -9.358988748,      -9.711375277,      -9.893742702,      -8.713359691
          0,           0,         156,       -9.36223354,      -9.718112703,      -9.895348445,      -8.712085689
          0,           0,         157,      -9.363408672,      -9.718704747,      -9.895201625,      -8.703564001
          0,           0,         158,      -9.367530561,      -9.727723789,      -9.894966233,      -8.720036794
          0,           0,         159,      -9.369855468,      -9.730844162,      -9.909159927,      -8.718693439
          0,           0,         160,      -9.369925624,      -9.724998374,      -9.894336188,      -8.709490373
