"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          63,      -9.149569695,      -9.089439783,      -9.466491255,      -9.115321543,      -8.576483058
          0,           0,          64,      -9.208503455,      -9.144246805,      -9.509743933,      -9.166572625,      -8.632520456
          0,           0,          65,      -9.264669393,      -9.197101318,      -9.555141685,      -9.216398121,      -8.686200377
          0,           0,          66,      -9.328654231,      -9.256189157,      -9.592752677,      -9.275497125,      -8.754159405
          0,           0,          67,      -9.385023192,      -9.311100717,      -9.648347794,      -9.331103847,      -8.810467972
          0,           0,          68,      -9.435628405,      -9.361204053,      -9.714876397,      -9.384258279,      -8.858909833
          0,           0,          69,      -9.483456726,      -9.410888544,      -9.786633557,      -9.437817221,      -8.905801067
          0,           0,          70,      -9.530647608,      -9.462097833,      -9.863055846,      -9.492422741,      -8.952486562
          0,           0,          71,      -9.586744953,      -9.521197669,      -9.925342069,      -9.554249184,      -9.013508836
          0,           0,          72,      -9.639326723,      -9.579432795,      -9.999076801,      -9.613899485,      -9.065528126
          0,           0,          73,      -9.691962516,      -9.637521257,      -10.06706773,      -9.671812982,      -9.114760706
          0,           0,          74,      -9.753410186,      -9.703837656,      -10.11122426,      -9.737802511,      -9.181144156
          0,           0,          75,      -9.812400162,      -9.768002507,      -10.15668934,      -9.799403851,      -9.239354439
          0,           0,          76,        -9.8720545,      -9.828450509,      -10.18913272,      -9.854267336,      -9.294639153
          0,           0,          77,      -9.936547944,      -9.892595625,      -10.21226675,      -9.913145718,      -9.364337625
          0,           0,          78,      -9.995174969,      -9.948916162,       -10.2392855,      -9.958762605,      -9.421688443
          0,           0,          79,      -10.05044496,      -9.996735567,      -10.26030106,      -9.989287813,      -9.472788746
          0,           0,          80,      -10.10641571,        -10.047086,      -10.28588639,      -10.02516388,      -9.533577723
          0,           0,          81,      -10.15516695,      -10.09194711,      -10.32004284,      -10.05564643,       -9.58154746
          0,           0,          82,      -10.20028559,      -10.13314836,       -10.3526214,      -10.08123872,      -9.622846365
          0,           0,          83,      -10.25014511,      -10.18312965,       -10.3880332,      -10.11707231,      -9.676759057
          0,           0,          84,      -10.29739413,      -10.23379108,      -10.43196062,      -10.15487684,      -9.722648207
          0,           0,          85,      -10.34452895,      -10.28627836,      -10.47774938,      -10.19538612,      -9.766129096
          0,           0,          86,       -10.3995604,      -10.34991993,      -10.52072891,      -10.24538573,      -9.826412534
          0,           0,          87,      -10.45363841,      -10.41513652,      -10.57593116,      -10.30218136,      -9.878874961
          0,           0,          88,      -10.50745487,      -10.47982094,      -10.63958746,      -10.36538841,       -9.92772697
          0,           0,          89,      -10.56350032,      -10.55050648,      -10.69603483,      -10.43167152,      -9.992589225
          0,           0,          90,      -10.61511353,      -10.61520654,      -10.76675277,      -10.50364063,      -10.04161965
          0,           0,          91,      -10.66468538,      -10.67072342,      -10.83959108,      -10.57529065,       -10.0838938
          0,           0,          92,      -10.71032753,       -10.7267316,      -10.90071827,       -10.6407061,      -10.14055544
          0,           0,          93,        -10.751574,      -10.77222159,      -10.96227802,      -10.69908835,      -10.17847019
          0,           0,          94,      -10.79457437,      -10.80969885,      -10.99119628,      -10.73422651,      -10.21330796
          0,           0,          95,      -10.83779652,      -10.85565526,      -11.01647212,      -10.76506867,      -10.26614654
          0,           0,          96,      -10.88211361,       -10.8978255,      -11.02530665,      -10.78175156,      -10.30744035
          0,           0,          97,      -10.93180419,      -10.93823108,      -11.00367157,      -10.77717535,       -10.3498477
          0,           0,          98,      -10.98472048,      -10.99115971,      -11.00733937,      -10.78829253,      -10.41048026
          0,           0,          99,      -11.04084071,       -11.0428447,       -11.0081205,      -10.79693833,      -10.46402783
          0,           0,         100,      -11.09865334,      -11.09083109,      -11.00053817,      -10.79766542,       -10.5156719
          0,           0,         101,      -11.15411495,      -11.14582087,      -11.01502897,      -10.81382406,       -10.5787578
          0,           0,         102,      -11.20947667,      -11.19846981,       -11.0344712,      -10.83416616,      -10.63158974
          0,           0,         103,      -11.25758815,      -11.24318006,       -11.0542846,      -10.85360181,      -10.67404969
          0,           0,         104,      -11.29336337,      -11.28686341,       -11.0830377,      -10.87995286,      -10.71859744
          0,           0,         105,      -11.32880905,      -11.33283433,      -11.12123446,       -10.9141221,      -10.75174054
          0,           0,         106,      -11.35966068,      -11.37408811,      -11.16542623,      -10.95313599,      -10.77623471
          0,           0,         107,       -11.3841552,      -11.41711127,      -11.21086232,      -10.99485508,      -10.81158018
          0,           0,         108,      -11.41322012,      -11.46565889,       -11.2714657,      -11.04880839,      -10.83774782
          0,           0,         109,      -11.44755276,      -11.51411801,       -11.3438407,      -11.11267564,      -10.86406899
          0,           0,         110,      -11.48029104,      -11.56766971,      -11.40899185,      -11.17389581,         -10.90801
          0,           0,         111,      -11.51878616,      -11.62515986,      -11.49116597,      -11.24934918,      -10.94341431
          0,           0,         112,      -11.56694299,      -11.68179349,      -11.58235592,      -11.33538666,      -10.98241352
          0,           0,         113,      -11.61167661,      -11.74192673,      -11.65542829,      -11.41221441,      -11.03811235
          0,           0,         114,      -11.66161041,      -11.79960209,      -11.73287364,      -11.49597881,      -11.08530287
          0,           0,         115,      -11.72134193,      -11.84952419,      -11.78888775,      -11.56998955,       -11.1357044
          0,           0,         116,      -11.77371111,      -11.90064235,      -11.82028693,       -11.6219496,      -11.19852825
          0,           0,         117,      -11.83043195,      -11.94494032,      -11.83800387,      -11.65741948,      -11.25311251
          0,           0,         118,      -11.89268344,      -11.97770619,      -11.83279094,      -11.66553167,      -11.30712636
          0,           0,         119,      -11.94351146,      -12.01468541,      -11.83405793,      -11.67424534,      -11.36760153
          0,           0,         120,      -11.99658822,      -12.04867835,      -11.83919799,       -11.6815143,      -11.41915517
          0,           0,         121,       -12.0463017,      -12.07235592,      -11.84116052,      -11.68433495,      -11.46270491
