Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
402,0.855923,0,180038,-0,1.8131e-05,0,0,0,0,0,0,0.000707842,-1,0.00878337,1.00004,72015.4,-7.09549,0.00790512,0,0.0228647,0.0241927,293.103,0,0,0,0,1.23013
403,0.855993,0,180050,-0,1.81308e-05,0,0,0,0,0,0,0.000965214,-1,0.00949058,1.00005,72020.1,-7.0845,0.00850355,0,0.0220601,0.0236423,293.098,0,0,0,0,1.20811
404,0.856164,0,180083,-0,1.81305e-05,0,0,0,0,0,0,0.00127896,-1,0.010265,1.00005,72033.1,-7.05385,0.0090681,0,0.0211669,0.0230276,293.093,0,0,0,0,1.18524
405,0.856453,0,180140,-0,1.81302e-05,0,0,0,0,0,0,0.00165969,-1,0.0111116,1.00006,72055.9,-7.00022,0.00958209,0,0.0201873,0.022346,293.087,0,0,0,0,1.16149
406,0.856875,0,180223,-0,1.81298e-05,0,0,0,0,0,0,0.00211935,-1,0.0120355,1.00007,72089.4,-6.92154,0.0100318,0,0.0191338,0.0216042,293.079,0,0,0,0,1.13714
407,0.857428,0,180333,-0,1.81293e-05,0,0,0,0,0,0,0.00267153,-1,0.0130415,1.00009,72133.3,-6.81822,0.0104049,0,0.0180175,0.0208061,293.068,0,0,0,0,1.11228
408,0.858122,0,180471,-0,1.81286e-05,0,0,0,0,0,0,0.00333146,-1,0.0141344,1.00011,72188.2,-6.68922,0.0106895,-3.14725e-24,0.0168533,0.0199574,293.054,0,0,0,0,1.08691
409,0.858952,0,180633,-0,1.81277e-05,0,0,0,0,0,0,0.004116,-1,0.0153189,1.00013,72253.4,-6.53603,0.0108795,-8.25542e-24,0.0156606,0.0190687,293.035,0,0,0,0,1.06119
410,0.859908,0,180819,-0,1.81265e-05,0,0,0,0,0,0,0.00504392,-1,0.0165994,1.00015,72327.7,-6.36129,0.0109711,3.64162e-25,0.0144567,0.0181483,293.011,0,0,0,0,1.03509
411,0.860982,0,181026,-0,1.8125e-05,0,0,0,0,0,0,0.00613584,-1,0.0179805,1.00018,72410.3,-6.16719,0.010964,4.11288e-24,0.0132599,0.0172057,292.979,0,0,0,0,1.00864
412,0.862156,0,181248,-0,1.81232e-05,0,0,0,0,0,0,0.00741445,-1,0.0194664,1.00022,72499.3,-5.95801,0.0108619,0,0.0120865,0.0162501,292.94,0,0,0,0,0.981851
413,0.863412,0,181483,-0,1.81209e-05,0,0,0,0,0,0,0.00890472,-1,0.0210615,1.00026,72593.2,-5.73729,0.0106697,1.36621e-23,0.0109498,0.0152886,292.893,0,0,0,0,0.954642
414,0.864727,0,181726,-0,1.81183e-05,0,0,0,0,0,0,0.010634,-1,0.0227704,1.00032,72690.3,-5.50918,0.0103948,1.10677e-23,0.0098601,0.0143273,292.838,0,0,0,0,0.926974
415,0.866078,0,181972,-0,1.81154e-05,0,0,0,0,0,0,0.0126325,-1,0.0245976,1.00038,72788.7,-5.27773,0.0100446,0,0.00882448,0.0133703,292.777,0,0,0,0,0.898704
416,0.867442,0,182218,-0,1.81123e-05,0,0,0,0,0,0,0.0149335,-1,0.0265477,1.00046,72887.2,-5.04619,0.00962795,-1.0936e-23,0.00784834,0.0124215,292.713,0,0,0,0,0.86974
417,0.868795,0,182461,-0,1.81091e-05,0,0,0,0,0,0,0.0175738,-1,0.0286255,1.00056,72984.4,-4.81781,0.00915559,-8.74126e-24,0.00693612,0.0114863,292.646,0,0,0,0,0.84004
418,0.870117,0,182698,-0,1.8106e-05,0,0,0,0,0,0,0.0205941,-1,0.030836,1.00069,73079.1,-4.59511,0.00864009,0,0.00609139,0.0105715,292.581,0,0,0,0,0.80967
419,0.87139,0,182927,-0,1.8103e-05,0,0,0,0,0,0,0.0240396,-1,0.033184,1.00084,73170.7,-4.37997,0.00809681,0,0.00531791,0.00968703,292.52,0,0,0,0,0.778846
420,0.8726,0,183146,-0,1.81004e-05,0,0,0,0,0,0,0.0279606,-1,0.0356743,1.00103,73258.5,-4.17361,0.00754357,0,0.0046192,0.00884548,292.464,0,0,0,0,0.747985
421,0.873738,0,183355,-0,1.80981e-05,0,0,0,0,0,0,0.032413,-1,0.0383114,1.00126,73342.1,-3.97691,0.00699885,0,0.00399722,0.00805988,292.417,0,0,0,0,0.717652
422,0.874799,0,183554,-0,1.80963e-05,0,0,0,0,0,0,0.0374593,-1,0.0410992,1.00154,73421.6,-3.79013,0.0064796,1.79364e-23,0.00345166,0.0073416,292.379,0,0,0,0,0.688468
423,0.875784,0,183742,-0,1.80949e-05,0,0,0,0,0,0,0.0431689,-1,0.044041,1.0019,73496.9,-3.61314,0.00599951,1.97924e-23,0.00297965,0.00669869,292.35,0,0,0,0,0.661044
424,0.876694,0,183921,-0,1.80939e-05,0,0,0,0,0,0,0.0496196,-1,0.0471386,1.00234,73568.2,-3.44557,0.0055677,4.42002e-24,0.00257572,0.00613463,292.329,0,0,0,0,0.635878
425,0.877534,0,184089,-0,1.80934e-05,0,0,0,0,0,0,0.0568979,-1,0.0503923,1.00288,73635.7,-3.28689,0.00518822,8.70234e-24,0.0022324,0.00564812,292.318,0,0,0,0,0.613286
426,0.878309,0,184249,-0,1.80932e-05,0,0,0,0,0,0,0.0651006,-1,0.0537998,1.00356,73699.7,-3.13643,0.00486062,7.05421e-24,0.00194104,0.00523386,292.313,0,0,0,0,0.593379
427,0.879026,0,184401,-0,1.80933e-05,0,0,0,0,0,0,0.0743357,-1,0.0573559,1.0044,73760.5,-2.99348,0.00458093,0,0.00169278,0.00488369,292.316,0,0,0,0,0.576068
428,0.879691,0,184546,-0,1.80937e-05,0,0,0,0,0,0,0.0847237,-1,0.0610511,1.00544,73818.5,-2.85723,0.00434293,0,0.00147917,0.00458791,292.325,0,0,0,0,0.561109
429,0.880309,0,184685,-0,1.80944e-05,0,0,0,0,0,0,0.0963989,-1,0.0648705,1.00673,73874,-2.72691,0.00413925,0,0.00129272,0.00433641,292.339,0,0,0,0,0.548142
430,0.880888,0,184818,-0,1.80953e-05,0,0,0,0,0,0,0.109511,-1,0.0687924,1.00833,73927.3,-2.60155,0.00396226,-1.47039e-23,0.00112709,0.00411945,292.358,0,0,0,0,0.536752
431,0.881431,0,184947,-0,1.80964e-05,0,0,0,0,0,0,0.124228,-1,0.0727865,1.01031,73978.9,-2.48028,0.00380458,-1.21733e-23,0.000977148,0.00392806,292.381,0,0,0,0,0.526492
432,0.881947,0,185073,-0,1.80978e-05,0,0,0,0,0,0,0.140733,-1,0.0768113,1.01277,74029.2,-2.36194,0.0036595,0,0.000838945,0.00375444,292.409,0,0,0,0,0.516925
433,0.88244,0,185197,-0,1.80993e-05,0,0,0,0,0,0,0.159234,-1,0.0808118,1.01582,74078.7,-2.24557,0.00352104,0,0.000709552,0.00359182,292.441,0,0,0,0,0.507631
434,0.882917,0,185320,-0,1.8101e-05,0,0,0,0,0,0,0.179959,-1,0.084716,1.01959,74128.1,-2.12964,0.00338416,-5.82766e-24,0.000587001,0.0034347,292.478,0,0,0,0,0.498226
435,0.883382,0,185444,-0,1.8103e-05,0,0,0,0,0,0,0.20316,-1,0.0884309,1.02425,74177.6,-2.0131,0.0032443,-4.77893e-24,0.00047005,0.00327818,292.52,0,0,0,0,0.488332
