"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
        510,           9,      -8.277214262,      -5.028348266,      -5.264202402,        -2.7145427,      -4.356367591,      0.9329898399,      0.3490519876,      0.8778646432,                 0,                 0,                 0,      0.1185034091,     0.07713729359,       0.941559058,                 0,       2.514996832,      0.7534945285,      -2.973747337,      -2.454918475,      -2.822145545,      -2.903699193,      -3.289530306,      0.8481725818,       0.291911077,      0.6688266568,                 0,                 0,                 0,     0.05830469637,     0.08360996148,       0.724948652,                 0,       2.081524737,      0.7438931032,      0.0374579167,     0.08324255728
        511,           9,      -8.270216451,      -5.040545803,      -5.225973242,      -2.719992164,      -4.373741296,      0.9329898399,      0.3541886262,      0.9021948369,                 0,                 0,                 0,      0.1271366857,     0.07493602533,      0.9663279458,                 0,       2.547215721,      0.7951289443,      -2.967329524,      -2.466646668,      -2.781365208,      -2.909129866,      -3.307860874,      0.8552406866,      0.2968066517,      0.6872619065,                 0,                 0,                 0,     0.06382605568,     0.08290167738,      0.7440096965,                 0,       2.120822045,      0.7423272835,     0.03794747416,     0.08508608226
        512,           9,      -8.263151009,      -5.016921801,      -5.392649066,      -2.712256442,      -4.402778842,      0.9329898399,      0.3583405377,      0.9216257823,                 0,                 0,                 0,      0.1333073705,     0.07322545938,      0.9861237527,                 0,       2.571927218,      0.7561136982,      -2.960102389,      -2.442453117,       -2.94619133,      -2.900983132,      -3.337408258,      0.8612213907,      0.3014267415,      0.7051989924,                 0,                 0,                 0,     0.06936605923,     0.08207559487,      0.7625138006,                 0,       2.157471084,      0.7411428977,     0.01125164972,     0.02970733123
        513,           9,      -8.254364735,      -5.067777101,       -5.37635503,      -2.715711413,      -4.410462804,      0.9329898399,       0.361414313,      0.9353794668,                 0,                 0,                 0,      0.1369748222,     0.07214373712,       1.000175152,                 0,       2.588108531,      0.7561136982,       -2.95070159,      -2.492832026,      -2.928955598,      -2.903979012,      -3.345012794,      0.8663477085,      0.3058110601,      0.7226420198,                 0,                 0,                 0,     0.07487463282,     0.08116849194,      0.7804765013,                 0,       2.191790744,      0.7403035823,    0.007556677085,     0.02327168816
        514,           9,       -8.24903166,      -5.139643538,      -5.428636648,      -2.714075194,      -4.468519523,      0.9329898399,      0.3633279382,      0.9426651079,                 0,                 0,                 0,      0.1377082269,     0.07184363067,       1.007701935,                 0,       2.594529649,      0.7540789029,      -2.944857162,      -2.564504068,      -2.980885506,      -2.902156846,      -3.402225203,      0.8707905173,      0.3099821424,      0.7395511447,                 0,                 0,                 0,     0.08029434671,     0.08021356813,      0.7978662844,                 0,       2.223951676,      0.7398053729,    0.006322517836,     0.02090505807
        515,           9,      -8.251742207,      -5.199387276,      -5.567132372,      -2.710833633,      -4.497842796,      0.9329898399,      0.3639099809,      0.9426906557,                 0,                 0,                 0,      0.1353390624,     0.07239277146,       1.007896539,                 0,       2.590450125,      0.7588896648,      -2.947621583,       -2.62432914,      -3.119157431,      -2.899143652,      -3.431125299,      0.8746779749,      0.3139488406,      0.7558515594,                 0,                 0,                 0,     0.08555965424,      0.0792411605,      0.8146141987,                 0,       2.254026665,      0.7395151656,    0.005563064258,     0.01948559276
        516,           9,      -8.252355129,       -5.23523329,      -5.721820211,      -2.706104583,      -4.555833053,      0.9329898399,      0.3631012021,      0.9351986634,                 0,                 0,                 0,      0.1297830748,     0.07380977897,       1.000495447,                 0,       2.575586801,      0.7518539233,      -2.948919583,      -2.660304382,      -3.273361409,      -2.894963716,      -3.489868264,      0.8781080846,      0.3177093788,      0.7714418432,                 0,                 0,                 0,     0.09059970421,     0.07827922319,      0.8306227363,                 0,       2.282023359,      0.7392810762,    0.005045400544,     0.01849070243
        517,           9,      -8.255843518,      -5.366549649,      -5.864716292,      -2.726445135,      -4.581903475,      0.9329898399,       0.360876462,       0.920267691,                 0,                 0,                 0,      0.1212800437,      0.0760476433,      0.9855664361,                 0,       2.550090649,      0.7522842683,      -2.953268843,       -2.79165049,      -3.415487718,      -2.915796758,      -3.517453299,       0.881157071,      0.3212545641,          0.786203,                 0,                 0,                 0,     0.09534200708,     0.07735375616,      0.8457754126,                 0,       2.307905981,      0.7390143164,    0.004664051035,     0.01770322887
        518,           9,       -8.25675333,      -5.489477325,      -5.690029996,      -2.745304805,      -4.704141419,      0.9329898399,      0.3572934105,      0.8984548208,                 0,                 0,                 0,      0.1103352545,     0.07899862015,      0.9636591016,                 0,       2.514613464,      0.7445577069,      -2.954605316,      -2.914698589,      -3.240392988,      -2.934689319,       -3.64135273,      0.8838851115,      0.3245705783,      0.8000070103,                 0,                 0,                 0,     0.09971573041,     0.07648897431,       0.859945762,                 0,       2.331611057,       0.738688085,    0.004359642384,     0.01699523057
        519,           9,      -8.265425175,      -5.466596605,      -5.576081416,      -2.761168175,      -4.728694654,      0.9329898399,       0.352593004,      0.8710069998,                 0,                 0,                 0,     0.09781300858,     0.08252856532,      0.9360363541,                 0,       2.470290079,      0.7384983115,      -2.962990827,      -2.892401163,       -3.12703145,      -2.950129867,      -3.667350477,      0.8863403479,      0.3276411879,      0.8127245136,                 0,                 0,                 0,      0.1036545041,     0.07570717473,      0.8730053303,                 0,       2.353059888,      0.7383069226,    0.004096823179,     0.01629032533
        520,           9,      -8.277091348,      -5.416703378,      -5.326466152,      -2.776876437,      -4.678765673,      0.9329898399,      0.3469964774,      0.8394341314,                 0,                 0,                 0,       0.084309689,     0.08640759364,      0.9042068038,                 0,       2.419143092,      0.7264704054,      -2.973913622,       -2.84360006,       -2.87881614,      -2.965270915,      -3.618084289,      0.8885617523,      0.3304494551,      0.8242316069,                 0,                 0,                 0,      0.1070989922,     0.07502838549,      0.8848306761,                 0,       2.372168982,      0.7378824083,    0.003853837803,     0.01554049501
        521,           9,      -8.271965405,      -5.177315854,       -5.21075793,      -2.762688311,      -4.614379539,      0.9329898399,      0.3411888111,      0.8060473243,                 0,                 0,                 0,     0.07142427603,     0.09061505248,      0.8705808441,                 0,        2.36246705,      0.7282051395,      -2.968172075,      -2.605614314,      -2.765259211,      -2.950764109,      -3.553885296,      0.8905812108,      0.3329791537,      0.8344159815,                 0,                 0,                 0,      0.1099993833,     0.07446992537,      0.8953096543,                 0,       2.388858936,      0.7374181763,    0.003617250203,     0.01471540749
        522,           9,      -8.292189429,      -5.154166931,      -5.025185724,      -2.781895736,        -4.5731472,      0.9329898399,      0.3349128771,      0.7714949644,                 0,                 0,                 0,     0.05885459132,      0.0947154793,      0.8357033525,                 0,       2.303569128,      0.7178555665,       -2.98845305,      -2.584075737,      -2.582332773,      -2.970153106,      -3.512142833,      0.8924250643,      0.3352160126,      0.8431824703,                 0,                 0,                 0,      0.1123175888,     0.07404597087,      0.9043470836,                 0,       2.403062133,      0.7369047219,     0.00337892711,     0.01379834779
        523,           9,       -8.29110885,      -4.994297932,      -5.041934948,      -2.765420031,      -4.535134855,      0.9329898399,      0.3291589027,      0.7386429449,                 0,                 0,                 0,     0.04820952109,     0.09881792713,      0.8026045106,                 0,       2.244031496,      0.7113094129,      -2.988270911,      -2.425791743,      -2.601652113,      -2.954326387,      -3.474085846,      0.8941152633,      0.3371488944,      0.8504579366,                 0,                 0,                 0,      0.1140290826,     0.07376725443,      0.9118697665,                 0,       2.414729096,      0.7363246207,     0.00313378343,     0.01278159168
