"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          19,      -5.419711058,       -3.98780135,      -4.399081803,      -3.460647435,      -10.86033924,      0.4989440636,     0.05781535435,   -0.002332350499,                 0,                 0,                 0,    -0.00122313129,     0.05781535435,   -0.002332350499,                 0,    -0.04034136823,    0.001376357784
          0,           0,          20,      -5.463716482,      -4.015651013,      -4.459298288,       -3.49541496,      -10.84536748,      0.4989440636,     0.05641230269,    -0.00209058708,                 0,                 0,                 0,   -0.001103939119,     0.05641230269,    -0.00209058708,                 0,      -0.037059063,    0.001376357784
          0,           0,          21,      -5.538974519,      -4.038095301,      -4.490753466,      -3.578051273,      -10.83188337,      0.4989440636,     0.05511123328,   -0.002058407985,                 0,                 0,                 0,   -0.001084739414,     0.05511123328,   -0.002058407985,                 0,    -0.03735006209,    0.001376357784
          0,           0,          22,      -5.618024351,      -4.056581041,       -4.50129659,       -3.67279647,      -10.81889301,      0.4989440636,     0.05386080025,   -0.002067519726,                 0,                 0,                 0,   -0.001066622967,     0.05386080025,   -0.002067519726,                 0,    -0.03838635365,    0.001376357784
          0,           0,          23,      -5.663905484,      -4.074578626,      -4.510104198,      -3.720008574,      -10.80603281,      0.4989440636,     0.05264519984,   -0.002004826713,                 0,                 0,                 0,  -0.0009983858652,     0.05264519984,   -0.002004826713,                 0,    -0.03808185207,    0.001376357784
          0,           0,          24,       -5.68698183,      -4.093074583,      -4.519054517,      -3.731123793,      -10.79347589,      0.4989440636,     0.05147109023,   -0.001846760808,                 0,                 0,                 0,  -0.0008833911916,     0.05147109023,   -0.001846760808,                 0,    -0.03587957434,    0.001376357784
          0,           0,          25,      -5.721926196,      -4.110478448,      -4.522193525,       -3.76085235,       -10.7814377,      0.4989440636,     0.05034986072,   -0.001637295978,                 0,                 0,                 0,  -0.0007519974273,     0.05034986072,   -0.001637295978,                 0,    -0.03251838148,    0.001376357784
          0,           0,          26,      -5.780177004,      -4.125387479,      -4.519877257,      -3.827040972,      -10.76996971,      0.4989440636,     0.04928675413,   -0.001440527837,                 0,                 0,                 0,  -0.0006311425844,     0.04928675413,   -0.001440527837,                 0,    -0.02922748438,    0.001376357783
          0,           0,          27,      -5.846916543,      -4.138302948,      -4.518537722,      -3.908528277,      -10.75933844,      0.4989440636,     0.04827980204,   -0.001298005738,                 0,                 0,                 0,   -0.000532398505,     0.04827980204,   -0.001298005738,                 0,    -0.02688506753,    0.001376357783
          0,           0,          28,       -5.89714489,      -4.150651997,      -4.522442551,      -3.961931288,      -10.74954651,      0.4989440636,     0.04732243633,   -0.001211398933,                 0,                 0,                 0,  -0.0004559613285,     0.04732243633,   -0.001211398933,                 0,    -0.02559882852,    0.001376357783
          0,           0,          29,      -5.926812325,      -4.163198042,      -4.530740065,      -3.978955527,      -10.74057764,      0.4989440636,     0.04640738481,    -0.00115775219,                 0,                 0,                 0,  -0.0003955250111,     0.04640738481,    -0.00115775219,                 0,    -0.02494758527,    0.001376357783
          0,           0,          30,      -5.953687929,      -4.175775615,      -4.540316532,      -3.992952495,      -10.73233374,      0.4989440636,     0.04553033606,   -0.001110683935,                 0,                 0,                 0,   -0.000342237688,     0.04553033606,   -0.001110683935,                 0,    -0.02439437155,    0.001376357783
          0,           0,          31,      -5.990033501,      -4.187918718,      -4.548988772,      -4.023637295,      -10.72472806,      0.4989440636,     0.04469066927,   -0.001052344302,                 0,                 0,                 0,  -0.0002883138504,     0.04469066927,   -0.001052344302,                 0,     -0.0235472934,    0.001376357783
          0,           0,          32,      -6.033228039,      -4.199434044,      -4.556590962,      -4.065565841,      -10.71768483,      0.4989440636,     0.04388944351,  -0.0009777542461,                 0,                 0,                 0,  -0.0002304983181,     0.04388944351,  -0.0009777542461,                 0,    -0.02227766333,    0.001376357783
          0,           0,          33,      -6.072723846,      -4.210459941,      -4.564157427,      -4.101343724,       -10.7110432,      0.4989440636,     0.04312636049,  -0.0008923795412,                 0,                 0,                 0,  -0.0001708341879,     0.04312636049,  -0.0008923795412,                 0,    -0.02069220614,    0.001376357783
          0,           0,          34,      -6.102930713,      -4.221210747,      -4.572650187,      -4.121791648,      -10.70477813,      0.4989440636,     0.04239835252,  -0.0008050899535,                 0,                 0,                 0,  -0.0001137016027,     0.04239835252,  -0.0008050899535,                 0,    -0.01898870842,    0.001376357783
          0,           0,          35,      -6.128226288,      -4.231808988,      -4.582424329,      -4.134157509,      -10.69886157,      0.4989440636,     0.04170068246,  -0.0007219155926,                 0,                 0,                 0,  -6.204086041e-05,     0.04170068246,  -0.0007219155926,                 0,     -0.0173118412,    0.001376357783
          0,           0,          36,      -6.155077822,      -4.242317991,      -4.593411737,      -4.148415833,      -10.69323695,      0.4989440636,     0.04102890671,  -0.0006439121293,                 0,                 0,                 0,  -1.580722796e-05,     0.04102890671,  -0.0006439121293,                 0,    -0.01569410888,    0.001376357783
          0,           0,          37,      -6.184878414,      -4.252826186,      -4.605434767,      -4.166701684,      -10.68794117,      0.4989440636,     0.04038007088,  -0.0005687503654,                 0,                 0,                 0,   2.691439575e-05,     0.04038007088,  -0.0005687503654,                 0,    -0.01408492737,    0.001376357783
          0,           0,          38,      -6.214307125,       -4.26345839,      -4.618341875,      -4.185020674,      -10.68295183,      0.4989440636,     0.03975275192,  -0.0004935036894,                 0,                 0,                 0,   6.786376533e-05,     0.03975275192,  -0.0004935036894,                 0,     -0.0124143277,    0.001376357783
