"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -3.272975033,      -13.19688734,      -13.17359095,      -1.225267601,      -9.361574719,      0.4989440636,       4.531151759,       11.88834258,                 0,                 0,                 0,       4.992497184,       1.299827033,        12.6560055,                 0,       2.623691108,    0.001151423646
          0,           0,           1,      -4.127996883,       -3.12141069,      -2.722334245,      -2.076380283,      -9.749312881,      0.4989440636,       2.674657765,       7.438174545,                 0,                 0,                 0,        2.98325052,      0.6583797792,       7.876977262,                 0,       2.780981792,    0.001742757172
          0,           0,           2,      -3.980364195,      -3.153225253,      -3.038522154,      -1.943556073,      -10.45526026,      0.4989440636,       1.151618255,       3.548097535,                 0,                 0,                 0,       1.140975178,      0.1940625991,        3.72525978,                 0,       3.080966734,    0.001742757172
          0,           0,           3,      -3.993277585,      -3.213440284,      -3.338800668,      -1.976109253,      -10.56135853,      0.4989440636,      0.2380823193,      0.9488589159,                 0,                 0,                 0,    -0.07137380968,    -0.01561289759,      0.9781475709,                 0,       3.985423692,    0.001742757172
          0,           0,           4,      -4.054041562,      -3.324124228,      -3.468117171,      -2.081234532,      -10.58775286,      0.4989440636,     -0.1417519748,      -0.348401766,                 0,                 0,                 0,     -0.6086674584,    -0.04674888098,     -0.3732183745,                 0,       2.457826542,    0.001742757172
          0,           0,           5,      -4.159393625,      -3.396681559,      -3.485762523,      -2.212777231,      -10.61868226,      0.4989440636,     -0.1588633415,     -0.5626709615,                 0,                 0,                 0,     -0.6238380912,   -0.007820243403,     -0.5846152718,                 0,        3.54185526,    0.001742757172
          0,           0,           6,      -4.290608643,       -3.42060352,      -3.503605861,      -2.376576982,      -10.61720541,      0.4989440636,   -0.004615102877,     -0.1227237828,                 0,                 0,                 0,     -0.3685174325,     0.02730540522,     -0.1197365478,                 0,        26.5917762,    0.001742757172
          0,           0,           7,       -4.39660126,      -3.463635452,      -3.585547354,      -2.500750876,      -10.58554003,      0.4989440636,      0.1696585656,       0.504558544,                 0,                 0,                 0,    -0.07787863566,     0.03328822958,      0.5312769965,                 0,       2.973964458,    0.001742757172
          0,           0,           8,      -4.465695415,      -3.514469398,      -3.718700155,      -2.538158156,      -10.54190096,      0.4989440636,      0.2755729318,      0.9609521815,                 0,                 0,                 0,     0.09940028186,     0.01747028588,       0.999532053,                 0,       3.487106571,    0.002259910667
          0,           0,           9,      -4.544590746,      -3.527620697,      -3.789945594,      -2.594863005,      -10.49218915,      0.4989440636,      0.2986976849,        1.13232572,                 0,                 0,                 0,      0.1383473093,   -0.004547653597,       1.171051307,                 0,       3.790875449,    0.002259910667
          0,           0,          10,      -4.653061429,      -3.523799356,      -3.778332408,      -2.699720694,      -10.44209722,      0.4989440636,      0.2664263031,       1.082989884,                 0,                 0,                 0,     0.08659737247,    -0.02295036058,       1.115044099,                 0,       4.064875994,    0.002259910667
          0,           0,          11,      -4.723310277,      -3.534186456,      -3.768294819,      -2.798997484,      -10.39694286,      0.4989440636,      0.2171524872,      0.9477008261,                 0,                 0,                 0,     0.01170840216,    -0.03552982724,      0.9716119029,                 0,       4.364218151,    0.002259910667
