Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
26,0.449275,0,1.27031,-0,5.99576e-08,0,0,0,0,0,0,0.392581,0.65,0.0155812,0.759515,0.508125,-1.01078,0.00461571,-0.000989722,0.00146829,0.0049437,1.1159,0,0,0,0,1.33402
27,1.10984,0,3.19409,-0,6.07631e-08,0,0,0,0,0,0,0.375608,0.65,0.00248361,0.750724,1.27764,0.528241,0.00179506,0.00150727,0.00310997,0.00389436,1.13583,0,0,0,0,1.83615
28,0.982541,0,2.81702,-0,6.05867e-08,0,0,0,0,0,0,0.376768,0.65,0.00517682,0.751319,1.12681,0.226585,0.00286555,0.000858501,0.00392624,0.00493597,1.13146,0,0,0,0,1.94942
29,0.966526,0,2.76955,-0,6.05644e-08,0,0,0,0,0,0,0.376916,0.65,0.00552982,0.751396,1.10782,0.188609,0.00300001,0.000777373,0.004033,0.00508621,1.1309,0,0,0,0,1.96467
30,0.790266,0,2.2499,-0,6.02703e-08,0,0,0,0,0,0,0.728736,0.65,-0.0259889,0.976848,0.899962,-0.227108,0.00278363,-5.28881e-05,0.000171643,0.00278941,1.12362,0,0,0,0,1.32203
31,0.779154,0,2.21879,-0,6.0281e-08,0,0,0,0,0,0,0.699599,0.65,-0.0275865,0.955353,0.887514,-0.252004,0.00291563,-9.47556e-05,0.000146651,0.00292085,1.12389,0,0,0,0,1.34285
32,0.775113,0,2.20755,-0,6.02867e-08,0,0,0,0,0,0,0.689031,0.65,-0.0281636,0.947659,0.883022,-0.260988,0.00295275,-0.000108577,0.000135789,0.00295787,1.12403,0,0,0,0,1.34785
33,0.777115,0,2.2137,-0,6.02957e-08,0,0,0,0,0,0,0.650551,0.65,-0.0294796,0.920101,0.885479,-0.256073,0.00312819,-0.000138221,6.66641e-05,0.00313195,1.12425,0,0,0,0,1.38849
34,0.80226,0,2.28412,-0,6.02718e-08,0,0,0,0,0,0,0.75208,0.65,-0.0243535,0.994343,0.913648,-0.199735,0.00268031,-2.31535e-05,0.00018537,0.00268682,1.12366,0,0,0,0,1.30703
35,0.827659,0,2.3569,-0,6.02807e-08,0,0,0,0,0,0,0.797634,0.65,-0.0208367,1.02915,0.94276,-0.141511,0.00245767,3.48438e-05,0.000201527,0.00246617,1.12388,0,0,0,0,1.27191
36,0.826881,0,2.35468,-0,6.02805e-08,0,0,0,0,0,0,0.796671,0.65,-0.0209118,1.02841,0.94187,-0.143291,0.00246318,3.32573e-05,0.000201138,0.00247161,1.12387,0,0,0,0,1.27268
37,0.450058,0,1.27257,-0,5.99594e-08,0,0,0,0,0,0,0.392124,0.65,0.0154853,0.759277,0.50903,-1.00897,0.00463924,-0.000999878,0.00149875,0.0049768,1.11595,0,0,0,0,1.33952
38,0.450135,0,1.27279,-0,5.99595e-08,0,0,0,0,0,0,0.392089,0.65,0.0154776,0.759259,0.509118,-1.0088,0.00464113,-0.00100065,0.00150128,0.00497948,1.11595,0,0,0,0,1.33999
39,0.943338,0,2.69575,-0,6.04402e-08,0,0,0,0,0,0,0.944213,0.65,0.00591242,1.14633,1.0783,0.129565,0.0009545,0.00023686,-0.000113715,0.000990002,1.12782,0,0,0,0,0.858065
40,0.954274,0,2.73002,-0,6.04905e-08,0,0,0,0,0,0,0.953854,0.65,0.00465852,1.15428,1.09201,0.156986,0.000844747,0.000249766,-0.000100588,0.000886622,1.12907,0,0,0,0,0.815787
41,0.957356,0,2.73971,-0,6.05051e-08,0,0,0,0,0,0,0.956639,0.65,0.00429601,1.15658,1.09588,0.164735,0.000814382,0.000253327,-9.68892e-05,0.000858359,1.12943,0,0,0,0,0.804036
42,0.515161,0,1.45726,-0,5.99754e-08,0,0,0,0,0,0,0.429286,0.65,0.0213898,0.779259,0.582903,-0.861227,0.00359755,-0.000363195,0.0004494,0.00364366,1.11634,0,0,0,0,1.22495
43,0.528593,0,1.49587,-0,5.99965e-08,0,0,0,0,0,0,0.434215,0.65,0.0219937,0.782002,0.598347,-0.830339,0.00353709,-0.00031385,0.000409265,0.00357449,1.11686,0,0,0,0,1.22951
44,0.476937,0,1.34734,-0,5.99178e-08,0,0,0,0,0,0,0.41626,0.65,0.0197565,0.772116,0.538936,-0.94916,0.00376901,-0.000502812,0.000557763,0.00384309,1.11492,0,0,0,0,1.21258
45,0.469922,0,1.32755,-0,5.99184e-08,0,0,0,0,0,0,0.414053,0.65,0.0194264,0.77092,0.53102,-0.964991,0.00381874,-0.000543262,0.000594852,0.00390279,1.11494,0,0,0,0,1.21223
46,0.93854,0,2.68072,-0,6.04175e-08,0,0,0,0,0,0,0.939483,0.65,0.0065127,1.14244,1.07229,0.117541,0.00100259,0.000229908,-0.000117714,0.00103533,1.12726,0,0,0,0,0.875205
