"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -3.414158584,      -13.21207145,      -13.20572738,      -1.366451152,      -9.362141075,      0.4989440636,        2.80509664,       8.118521898,                 0,                 0,                 0,       3.329609579,       1.352714386,       8.482283228,                 0,       2.894203994,    0.001114537288
          0,           0,           1,      -4.274577893,      -3.130797243,      -2.875655402,      -2.223913358,      -9.757044401,      0.4989440636,        1.60997112,       5.114782881,                 0,                 0,                 0,        2.00550466,       0.697339315,       5.316646387,                 0,       3.176940764,    0.001676596566
          0,           0,           2,      -4.125835418,      -3.187680531,      -3.188740305,      -2.090328243,      -10.48437572,      0.4989440636,      0.6660933392,       2.464462821,                 0,                 0,                 0,       0.772412797,      0.2280244068,       2.542687988,                 0,       3.699876093,    0.001676596566
          0,           0,           3,      -4.137470849,         -3.257404,      -3.493445729,      -2.117542826,      -10.64096563,      0.4989440636,       0.140413116,      0.6833683709,                 0,                 0,                 0,    -0.04099653669,     0.01961425295,      0.6973689515,                 0,       4.866841436,    0.001676596566
          0,           0,           4,      -4.196212495,      -3.347106786,      -3.607393278,      -2.221918649,      -10.69351369,      0.4989440636,    -0.04927034972,     -0.2167547334,                 0,                 0,                 0,      -0.403844977,    -0.01088275795,     -0.2220174484,                 0,       4.399293583,    0.001676596566
          0,           0,           5,      -4.295688797,      -3.409744988,      -3.619792827,      -2.354146668,      -10.73763246,      0.4989440636,    -0.03951195699,     -0.3760205979,                 0,                 0,                 0,     -0.4185161098,     0.02638361001,     -0.3771691795,                 0,       9.516628043,    0.001818733557
          0,           0,           6,      -4.419528281,      -3.447866684,       -3.64592288,      -2.511115822,      -10.74615158,      0.4989440636,     0.04644856506,    -0.08561261429,                 0,                 0,                 0,     -0.2524715931,     0.06060938144,    -0.07624625763,                 0,      -1.843170272,    0.001818733557
          0,           0,           7,      -4.520835811,      -3.493746085,      -3.728383155,      -2.631082595,      -10.71904105,      0.4989440636,      0.1297852956,      0.3381324966,                 0,                 0,                 0,    -0.06047236728,     0.06909747354,      0.3555324843,                 0,       2.605322081,    0.001818733557
          0,           0,           8,      -4.597321937,      -3.542198566,      -3.853632268,       -2.67791344,       -10.6759931,      0.4989440636,      0.1743269274,      0.6518033364,                 0,                 0,                 0,     0.05918328074,     0.05849404806,      0.6721725324,                 0,        3.73897106,    0.001818733557
          0,           0,           9,      -4.677869675,      -3.572159313,      -3.933548938,      -2.733780172,      -10.62589303,      0.4989440636,      0.1795850132,      0.7738433789,                 0,                 0,                 0,     0.08763193565,     0.04248022074,      0.7932715694,                 0,       4.309064355,    0.001818733557
          0,           0,          10,      -4.777842253,       -3.59010738,      -3.934837415,       -2.82696137,      -10.57516707,      0.4989440636,      0.1612849034,      0.7443043863,                 0,                 0,                 0,     0.05457100491,     0.02958752305,      0.7610035598,                 0,       4.614842247,    0.001818733557
          0,           0,          11,      -4.848703045,      -3.610199088,      -3.918618174,      -2.922727083,      -10.52875308,      0.4989440636,      0.1371666644,      0.6535762149,                 0,                 0,                 0,    0.004596141272,     0.02159047584,       0.667465665,                 0,       4.764832752,    0.001818733557
          0,           0,          12,      -4.894807849,      -3.632228655,      -3.909097179,      -2.992218651,      -10.48744857,      0.4989440636,      0.1198212367,      0.5838943819,                 0,                 0,                 0,    -0.02820353778,     0.01660868749,      0.5958304536,                 0,       4.873045864,    0.002427788657
          0,           0,          13,      -4.948406638,      -3.651908279,      -3.915457451,       -3.04365591,      -10.44932577,      0.4989440636,         0.1131813,      0.5698032571,                 0,                 0,                 0,    -0.03356016198,     0.01251652451,      0.5808003918,                 0,       5.034429337,    0.002427788657
          0,           0,          14,      -4.998900821,      -3.667516237,       -3.94180667,       -3.08331986,        -10.412637,      0.4989440636,      0.1146063667,      0.6035064741,                 0,                 0,                 0,     -0.0191021944,    0.008067439083,      0.6142390414,                 0,       5.265907045,    0.002427788657
          0,           0,          15,      -5.045921891,      -3.675486033,      -3.974180817,      -3.124993677,      -10.37739203,      0.4989440636,      0.1188067546,      0.6566373135,                 0,                 0,                 0,   0.0007899643588,    0.002977940126,      0.6672920937,                 0,       5.526935871,    0.002427788657
          0,           0,          16,       -5.10558617,       -3.67323031,      -3.990931215,       -3.19164704,      -10.34409201,      0.4989440636,       0.121574615,      0.7033127396,                 0,                 0,                 0,     0.01519232849,   -0.002401352115,      0.7137390491,                 0,       5.785029543,    0.002427788657
          0,           0,          17,      -5.169783493,      -3.665678611,      -3.990795555,      -3.266466117,      -10.31341673,      0.4989440636,      0.1213333287,      0.7321766054,                 0,                 0,                 0,      0.0206186291,   -0.007651130489,       0.742122509,                 0,       6.034422804,    0.002427788657
          0,           0,          18,      -5.208414092,       -3.65940496,      -3.985351519,      -3.293613181,      -10.28573889,      0.4989440636,      0.1185680551,      0.7447663811,                 0,                 0,                 0,     0.01907211351,    -0.01256058494,       0.754040833,                 0,        6.28134096,    0.002427788657
          0,           0,          19,       -5.22071887,      -3.655767405,      -3.976835273,      -3.281852748,      -10.26136626,      0.4989440636,      0.1146899384,      0.7489629728,                 0,                 0,                 0,      0.0146967179,    -0.01710851485,      0.7575002411,                 0,       6.530328495,    0.003417986863
          0,           0,          20,      -5.238082647,      -3.652246274,      -3.962235052,      -3.290784456,      -10.24043623,      0.4989440636,      0.1111053734,      0.7533049419,                 0,                 0,                 0,     0.01124517894,    -0.02139259722,      0.7611537928,                 0,       6.780094595,    0.003417986863
          0,           0,          21,      -5.271428976,      -3.647071839,      -3.944868335,      -3.338664136,      -10.22297556,      0.4989440636,      0.1085569834,      0.7627414507,                 0,                 0,                 0,     0.01045865657,    -0.02554090402,      0.7700044166,                 0,       7.026185019,    0.003417986863
          0,           0,          22,      -5.302186974,      -3.641058487,      -3.932036245,       -3.39984842,      -10.20855826,      0.4989440636,      0.1069918912,      0.7774381532,                 0,                 0,                 0,     0.01194929249,    -0.02963427462,      0.7842060676,                 0,       7.266327801,    0.003417986863
          0,           0,          23,      -5.313085405,      -3.635725228,      -3.926804666,      -3.434227015,      -10.19701127,      0.4989440636,      0.1058867328,      0.7945438494,                 0,                 0,                 0,     0.01424268311,    -0.03369301611,      0.8008599812,                 0,        7.50371485,    0.003417986863
          0,           0,          24,      -5.312814334,      -3.631521923,      -3.926745519,      -3.442198132,      -10.18804701,      0.4989440636,      0.1046997637,       0.810926069,                 0,                 0,                 0,     0.01600277926,    -0.03770669502,       0.816787203,                 0,       7.745252138,    0.003417986863
          0,           0,          25,      -5.316332881,      -3.628032843,       -3.92776783,      -3.451583854,      -10.18131363,      0.4989440636,      0.1031587988,      0.8249343997,                 0,                 0,                 0,     0.01668336535,     -0.0416567703,        0.83031513,                 0,       7.996742972,    0.004683891393
          0,           0,          26,      -5.326033841,      -3.624910839,      -3.927590906,       -3.46953915,      -10.17665608,      0.4989440636,      0.1012879118,      0.8366044496,                 0,                 0,                 0,     0.01647562087,    -0.04552571722,      0.8414830094,                 0,       8.259667262,    0.004683891393
          0,           0,          27,      -5.335745819,      -3.622201087,      -3.926227168,      -3.484551397,      -10.17392464,      0.4989440636,     0.09926968582,      0.8469150657,                 0,                 0,                 0,     0.01589719607,    -0.04930370158,      0.8512865229,                 0,       8.531457099,    0.004683891393
          0,           0,          28,      -5.340590214,      -3.620089966,      -3.924578063,      -3.488116808,      -10.17306575,      0.4989440636,     0.09728410809,      0.8568910397,                 0,                 0,                 0,     0.01539130866,     -0.0529914236,      0.8607661474,                 0,       8.808129678,    0.004683891393
          0,           0,          29,      -5.341298561,      -3.618661132,      -3.923355816,      -3.484863586,      -10.17399095,      0.4989440636,     0.09541719595,      0.8670661095,                 0,                 0,                 0,     0.01513491761,    -0.05659685549,      0.8704624492,                 0,       9.087105326,    0.004683891393
          0,           0,          30,      -5.341257899,       -3.61789879,      -3.922961254,      -3.482957627,      -10.17664588,      0.4989440636,     0.09365739329,      0.8774235027,                 0,                 0,                 0,     0.01506435824,    -0.06012846524,      0.8803569038,                 0,       9.368438217,    0.004683891393
          0,           0,          31,      -5.342581599,      -3.617800877,      -3.923695131,       -3.48499636,      -10.18091277,      0.4989440636,     0.09194399676,      0.8876435391,                 0,                 0,                 0,     0.01501333699,    -0.06359052213,      0.8901241467,                 0,       9.654176133,    0.004683891393
          0,           0,          32,      -5.345359383,      -3.618427836,      -3.925803344,      -3.488904454,      -10.18663392,      0.4989440636,     0.09022017324,      0.8974027575,                 0,                 0,                 0,     0.01484554438,    -0.06698282739,      0.8994357618,                 0,       9.946808184,    0.004683891393
          0,           0,          33,      -5.348849972,      -3.619865135,      -3.929382211,      -3.492333809,      -10.19364718,      0.4989440636,     0.08846125772,      0.9065483749,                 0,                 0,                 0,      0.0145156729,    -0.07030314082,      0.9081370043,                 0,       10.24797067,    0.006188450145
