Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
26,0.774572,0,2.21383,-0,6.04477e-08,0,0,0,0,0,0,0.596947,0.65,-0.030039,0.883034,0.885534,-0.255965,0.00136448,-7.81558e-05,-6.825e-06,0.00136673,1.12801,0,0,0,0,9.50174
27,0.782372,0,2.23653,-0,6.04559e-08,0,0,0,0,0,0,0.576337,0.65,-0.0298398,0.869227,0.894611,-0.237809,0.00137253,-7.59289e-05,-2.18567e-05,0.0013748,1.12821,0,0,0,0,9.54823
28,0.791042,0,2.26182,-0,6.0466e-08,0,0,0,0,0,0,0.556296,0.65,-0.0294397,0.856056,0.904728,-0.217575,0.0013754,-7.15525e-05,-3.58293e-05,0.00137773,1.12846,0,0,0,0,9.57826
29,0.808403,0,2.31256,-0,6.04877e-08,0,0,0,0,0,0,0.518383,0.65,-0.0281472,0.831873,0.925022,-0.176987,0.00138272,-6.08515e-05,-6.20314e-05,0.00138544,1.129,0,0,0,0,9.61905
30,0.816574,0,2.33646,-0,6.0498e-08,0,0,0,0,0,0,0.500723,0.65,-0.0272988,0.820956,0.934584,-0.157864,0.00139169,-5.58343e-05,-7.57045e-05,0.00139487,1.12926,0,0,0,0,9.64642
31,0.824546,0,2.3598,-0,6.05081e-08,0,0,0,0,0,0,0.484052,0.65,-0.0263351,0.810864,0.943918,-0.139196,0.00140618,-5.11823e-05,-9.09194e-05,0.00141005,1.12951,0,0,0,0,9.67617
32,0.832673,0,2.3836,-0,6.05186e-08,0,0,0,0,0,0,0.468451,0.65,-0.0252657,0.801614,0.953441,-0.12015,0.00142429,-4.63616e-05,-0.00010828,0.00142915,1.12977,0,0,0,0,9.71148
33,0.841355,0,2.40905,-0,6.05299e-08,0,0,0,0,0,0,0.453985,0.65,-0.0240997,0.793211,0.96362,-0.0997916,0.00144525,-4.05877e-05,-0.00012821,0.00145149,1.13005,0,0,0,0,9.74357
34,0.850764,0,2.43667,-0,6.05425e-08,0,0,0,0,0,0,0.440705,0.65,-0.0228498,0.785648,0.974668,-0.0776968,0.00146681,-3.30195e-05,-0.000150674,0.00147489,1.13036,0,0,0,0,9.76812
35,0.86069,0,2.46591,-0,6.05576e-08,0,0,0,0,0,0,0.428645,0.65,-0.0215344,0.77891,0.986365,-0.054301,0.00148587,-2.31941e-05,-0.000175102,0.00149633,1.13073,0,0,0,0,9.76571
36,0.870931,0,2.49627,-0,6.05761e-08,0,0,0,0,0,0,0.41782,0.65,-0.0201793,0.772969,0.998507,-0.0300172,0.00149713,-1.13623e-05,-0.000200277,0.00151051,1.13119,0,0,0,0,9.71896
37,0.876631,0,2.51356,-0,6.05935e-08,0,0,0,0,0,0,0.408221,0.65,-0.018815,0.767788,1.00542,-0.0161843,0.00152474,-5.07286e-06,-0.000229832,0.00154198,1.13162,0,0,0,0,9.66737
38,0.86837,0,2.49033,-0,6.06018e-08,0,0,0,0,0,0,0.39982,0.65,-0.0174718,0.763323,0.996131,-0.0347706,0.00164124,-2.45073e-05,-0.000296962,0.00166807,1.13183,0,0,0,0,9.753
39,0.862975,0,2.47705,-0,6.06422e-08,0,0,0,0,0,0,0.392596,0.65,-0.0160135,0.759532,0.990819,-0.0453946,0.00175469,-5.79257e-05,-0.000448839,0.00181211,1.13283,0,0,0,0,9.75948
40,0.901413,0,2.59003,-0,6.06889e-08,0,0,0,0,0,0,0.386573,0.65,-0.0141486,0.756399,1.03601,0.0449891,0.00183364,-2.52107e-05,-0.000725756,0.0019722,1.13399,0,0,0,0,9.98177
41,0.99015,0,2.84847,-0,6.07446e-08,0,0,0,0,0,0,0.381788,0.65,-0.0117697,0.753924,1.13939,0.251741,0.00171622,0.000160184,-0.000996631,0.00199106,1.13537,0,0,0,0,10.2065
42,1.09796,0,3.16323,-0,6.08114e-08,0,0,0,0,0,0,0.378213,0.65,-0.00901567,0.752081,1.26529,0.50355,0.00134269,0.000455776,-0.00101441,0.00174343,1.13704,0,0,0,0,9.90455
43,1.19102,0,3.43535,-0,6.08649e-08,0,0,0,0,0,0,0.375733,0.65,-0.00607979,0.750808,1.37414,0.721245,0.000870285,0.000725138,-0.000680187,0.00132132,1.13837,0,0,0,0,8.94354
44,1.2391,0,3.57576,-0,6.08871e-08,0,0,0,0,0,0,0.374251,0.65,-0.00306242,0.750049,1.43031,0.83358,0.000522449,0.000861715,-8.20192e-05,0.00101106,1.13892,0,0,0,0,8.03216
45,0.907525,0,2.60296,-0,6.06078e-08,0,0,0,0,0,0,0.929921,0.65,-0.00750901,1.1346,1.04118,0.0553363,0.000764804,9.44192e-05,8.91128e-05,0.000775745,1.13198,0,0,0,0,7.52451
46,0.896815,0,2.57156,-0,6.05957e-08,0,0,0,0,0,0,0.917759,0.65,-0.00895114,1.12466,1.02862,0.0302175,0.000809339,8.3327e-05,9.12436e-05,0.000818718,1.13168,0,0,0,0,7.71563
47,0.886629,0,2.5417,-0,6.05841e-08,0,0,0,0,0,0,0.904661,0.65,-0.0104404,1.11401,1.01668,0.00633199,0.000849653,7.29891e-05,9.21511e-05,0.000857747,1.13139,0,0,0,0,7.88381
48,0.87702,0,2.51356,-0,6.05732e-08,0,0,0,0,0,0,0.890598,0.65,-0.0119682,1.10264,1.00542,-0.0161875,0.000884829,6.36716e-05,9.204e-05,0.000891879,1.13112,0,0,0,0,8.03332
49,0.868033,0,2.48724,-0,6.05628e-08,0,0,0,0,0,0,0.875564,0.65,-0.0135276,1.09055,0.994894,-0.0372434,0.000915241,5.54777e-05,9.12621e-05,0.000921451,1.13086,0,0,0,0,8.16107
50,0.85942,0,2.46202,-0,6.0553e-08,0,0,0,0,0,0,0.859571,0.65,-0.0151135,1.07777,0.984808,-0.0574149,0.000941836,4.8262e-05,9.01633e-05,0.000947372,1.13062,0,0,0,0,8.26236
51,0.850905,0,2.43711,-0,6.05432e-08,0,0,0,0,0,0,0.842652,0.65,-0.016722,1.06435,0.974843,-0.0773451,0.000965492,4.1575e-05,8.89342e-05,0.00097047,1.13038,0,0,0,0,8.35136
52,0.842075,0,2.41128,-0,6.0533e-08,0,0,0,0,0,0,0.824856,0.65,-0.0183479,1.05034,0.964512,-0.0980073,0.000989285,3.48837e-05,8.77647e-05,0.000993783,1.13012,0,0,0,0,8.43201
53,0.832636,0,2.38367,-0,6.05219e-08,0,0,0,0,0,0,0.806246,0.65,-0.0199817,1.03582,0.953467,-0.120098,0.00101539,2.74867e-05,8.6558e-05,0.00101944,1.12985,0,0,0,0,8.51174
54,0.822364,0,2.35362,-0,6.05094e-08,0,0,0,0,0,0,0.786898,0.65,-0.0216062,1.02087,0.941447,-0.144138,0.00104558,1.87128e-05,8.50104e-05,0.0010492,1.12954,0,0,0,0,8.60271
55,0.514751,0,1.46643,-0,6.02976e-08,0,0,0,0,0,0,0.440705,0.65,0.0228498,0.785648,0.586572,-0.853887,0.00160382,-0.00010238,0.000169117,0.00161595,1.1243,0,0,0,0,7.97723
56,0.563398,0,1.60709,-0,6.03563e-08,0,0,0,0,0,0,0.453985,0.65,0.0240997,0.793211,0.642837,-0.741357,0.00144555,-2.01009e-05,0.000127043,0.00145126,1.12575,0,0,0,0,7.98748
57,0.599265,0,1.71074,-0,6.03924e-08,0,0,0,0,0,0,0.468451,0.65,0.0252657,0.801614,0.684298,-0.658437,0.00137863,9.23187e-06,0.000102023,0.00138243,1.12664,0,0,0,0,8.11564
58,0.616205,0,1.75911,-0,6.03934e-08,0,0,0,0,0,0,0.484052,0.65,0.0263351,0.810864,0.703642,-0.619747,0.00139977,2.96633e-06,8.805e-05,0.00140254,1.12666,0,0,0,0,8.35845
59,0.619742,0,1.76826,-0,6.03693e-08,0,0,0,0,0,0,0.500723,0.65,0.0272988,0.820956,0.707304,-0.612423,0.00145937,-1.79365e-05,7.77518e-05,0.00146155,1.12607,0,0,0,0,8.62063
60,0.617296,0,1.76029,-0,6.03437e-08,0,0,0,0,0,0,0.518383,0.65,0.0281472,0.831873,0.704116,-0.618799,0.00150631,-4.06978e-05,6.667e-05,0.00150834,1.12543,0,0,0,0,8.79133
61,0.612872,0,1.74674,-0,6.03193e-08,0,0,0,0,0,0,0.536941,0.65,0.0288672,0.843587,0.698695,-0.629641,0.00153863,-6.01894e-05,5.43054e-05,0.00154077,1.12483,0,0,0,0,8.90076
62,0.607153,0,1.72948,-0,6.02942e-08,0,0,0,0,0,0,0.556296,0.65,0.0294397,0.856056,0.691793,-0.643445,0.00156972,-7.72354e-05,4.07755e-05,0.00157215,1.12421,0,0,0,0,8.98952
63,0.59845,0,1.70412,-0,6.02788e-08,0,0,0,0,0,0,0.576337,0.65,0.0298398,0.869227,0.681647,-0.663737,0.00158189,-9.32415e-05,2.5313e-05,0.00158483,1.12383,0,0,0,0,8.99242
64,0.585866,0,1.66818,-0,6.02761e-08,0,0,0,0,0,0,0.596947,0.65,0.030039,0.883034,0.667272,-0.692489,0.00157068,-0.000106437,8.12527e-06,0.0015743,1.12376,0,0,0,0,8.89436
65,0.573676,0,1.63467,-0,6.03094e-08,0,0,0,0,0,0,0.618001,0.65,0.0300093,0.8974,0.653869,-0.719294,0.00147259,-0.000105139,-9.59716e-06,0.00147637,1.12459,0,0,0,0,8.53607
66,0.577535,0,1.64814,-0,6.03772e-08,0,0,0,0,0,0,0.63937,0.65,0.029729,0.912238,0.659255,-0.708522,0.00126996,-7.57572e-05,-2.38873e-05,0.00127244,1.12626,0,0,0,0,7.95144
67,0.619343,0,1.77031,-0,6.04504e-08,0,0,0,0,0,0,0.660923,0.65,0.0291874,0.927454,0.708123,-0.610786,0.000952087,-1.28365e-05,-2.95656e-05,0.000952632,1.12808,0,0,0,0,7.12221
68,0.697922,0,1.9978,-0,6.05163e-08,0,0,0,0,0,0,0.682526,0.65,0.0283886,0.942946,0.799121,-0.42879,0.000713599,4.71559e-05,-3.01455e-05,0.000715791,1.12971,0,0,0,0,6.55566
69,0.761189,0,2.18182,-0,6.05781e-08,0,0,0,0,0,0,0.70405,0.65,0.0273526,0.958611,0.872727,-0.281578,0.000604771,6.72726e-05,-3.15241e-05,0.000609317,1.13124,0,0,0,0,6.31762
70,0.786457,0,2.25498,-0,6.0593e-08,0,0,0,0,0,0,0.725368,0.65,0.0261126,0.974341,0.901993,-0.223046,0.000649586,6.99539e-05,-3.96568e-05,0.000654545,1.13161,0,0,0,0,6.65302
71,0.797584,0,2.28682,-0,6.05917e-08,0,0,0,0,0,0,0.746357,0.65,0.0247114,0.99003,0.914727,-0.197577,0.000703246,7.173e-05,-4.82572e-05,0.00070854,1.13158,0,0,0,0,6.96954
72,0.809568,0,2.32122,-0,6.05924e-08,0,0,0,0,0,0,0.766903,0.65,0.0231948,1.00557,0.928487,-0.170059,0.000718332,7.58215e-05,-5.36198e-05,0.00072431,1.1316,0,0,0,0,7.09172
73,0.8235,0,2.36142,-0,6.05975e-08,0,0,0,0,0,0,0.786898,0.65,0.0216062,1.02087,0.944569,-0.137893,0.000709144,8.09553e-05,-5.6265e-05,0.000715964,1.13172,0,0,0,0,7.10094
74,0.931007,0,2.67475,-0,6.06837e-08,0,0,0,0,0,0,0.941201,0.65,0.00612263,1.14385,1.0699,0.11277,0.000415204,0.000148916,-4.65564e-05,0.000443552,1.13386,0,0,0,0,5.73747
75,0.939829,0,2.70055,-0,6.06914e-08,0,0,0,0,0,0,0.951675,0.65,0.00479854,1.15248,1.08022,0.133412,0.000372831,0.000157224,-4.19543e-05,0.000406795,1.13405,0,0,0,0,5.50664
76,0.947723,0,2.72354,-0,6.06964e-08,0,0,0,0,0,0,0.961449,0.65,0.0035397,1.16056,1.08941,0.151797,0.000333888,0.000165637,-3.73027e-05,0.000374577,1.13418,0,0,0,0,5.29891
77,0.955651,0,2.74629,-0,6.0696e-08,0,0,0,0,0,0,0.970653,0.65,0.00233669,1.16819,1.09852,0.170003,0.000305,0.000174337,-3.37807e-05,0.00035293,1.13417,0,0,0,0,5.16821
78,0.961618,0,2.76296,-0,6.0688e-08,0,0,0,0,0,0,0.979446,0.65,0.00116675,1.17551,1.10518,0.183335,0.000311055,0.000190766,-3.46655e-05,0.000366536,1.13397,0,0,0,0,5.29333
79,0.972775,0,2.79425,-0,6.06756e-08,0,0,0,0,0,0,0.988019,0.65,0,1.18266,1.1177,0.20837,7.81802e-06,2.79137e-05,-0.000128213,0.000131449,1.13366,0,0,0,0,3.20306
80,0.929491,0,2.66739,-0,6.06322e-08,0,0,0,0,0,0,0.951675,0.65,-0.00479854,1.15248,1.06696,0.106879,0.000668038,0.000117617,8.10234e-05,0.000683135,1.13258,0,0,0,0,7.10349
81,0.918471,0,2.63507,-0,6.06202e-08,0,0,0,0,0,0,0.941201,0.65,-0.00612263,1.14385,1.05403,0.0810219,0.000717072,0.00010595,8.5661e-05,0.000729901,1.13228,0,0,0,0,7.31799
82,0.799857,0,2.28757,-0,6.0477e-08,0,0,0,0,0,0,0.536941,0.65,-0.0288672,0.843587,0.915029,-0.196974,0.00137771,-6.62305e-05,-4.90054e-05,0.00138017,1.12874,0,0,0,0,9.5997
83,1.21317,0,3.4997,-0,6.08707e-08,0,0,0,0,0,0,0.37375,0.65,0,0.749793,1.39988,0.772726,0.000459318,0.000798814,0.000589363,0.00109381,1.13851,0,0,0,0,9.24601
84,1.10776,0,3.19156,-0,6.08125e-08,0,0,0,0,0,0,0.374251,0.65,0.00306242,0.750049,1.27662,0.526213,0.00082019,0.000682938,0.00130995,0.0016897,1.13706,0,0,0,0,9.82908
85,0.955687,0,2.74733,-0,6.07114e-08,0,0,0,0,0,0,0.375733,0.65,0.00607979,0.750808,1.09893,0.170829,0.0014022,0.000363975,0.00179217,0.00230445,1.13455,0,0,0,0,10.6066
86,0.790877,0,2.26716,-0,6.0583e-08,0,0,0,0,0,0,0.378213,0.65,0.00901567,0.752081,0.906863,-0.213306,0.00204424,-3.58288e-05,0.00194042,0.00281876,1.13136,0,0,0,0,10.7289
87,0.630211,0,1.80142,-0,6.04524e-08,0,0,0,0,0,0,0.381788,0.65,0.0117697,0.753924,0.720568,-0.585896,0.00259969,-0.000417983,0.00174507,0.00315886,1.12813,0,0,0,0,10.3058
