"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          54,      -6.070316919,      -6.085416038,      -6.220142348,      -6.298053848,      -5.473441431,      -9.700163777
          0,           0,          55,      -6.091551803,      -6.092788354,       -6.24688855,      -6.322944759,      -5.495316323,      -9.686482651
          0,           0,          56,      -6.112285008,      -6.100328951,      -6.273807118,      -6.347915904,      -5.516858399,       -9.67461733
          0,           0,          57,      -6.131978984,      -6.107484486,      -6.300479329,      -6.372818514,      -5.537393802,      -9.663219103
          0,           0,          58,      -6.150196124,         -6.113866,       -6.32637352,       -6.39732416,      -5.556307813,      -9.652672297
          0,           0,          59,      -6.166737001,      -6.120428911,      -6.350921422,      -6.420968452,       -5.57323009,      -9.642991844
          0,           0,          60,      -6.181676117,      -6.127815725,      -6.373616755,       -6.44320832,      -5.588126553,      -9.634262405
          0,           0,          61,      -6.195325298,      -6.134723499,      -6.394112791,      -6.463478508,      -5.601293395,      -9.626482149
          0,           0,          62,      -6.208135175,      -6.141556761,      -6.412280708,      -6.481374971,      -5.613251473,      -9.619655441
          0,           0,          63,      -6.220633871,      -6.148454888,      -6.428236001,      -6.496717055,      -5.624651754,      -9.613776878
          0,           0,          64,      -6.233389173,      -6.155555399,      -6.442307498,      -6.509645238,      -5.636203648,      -9.608803271
          0,           0,          65,      -6.246837975,      -6.162849146,      -6.454972137,      -6.520638645,      -5.648478686,       -9.60466246
          0,           0,          66,      -6.261249466,      -6.170207007,      -6.466777717,      -6.530395324,      -5.661857839,      -9.601252522
          0,           0,          67,      -6.276757873,      -6.177580312,      -6.478270216,      -6.539675386,      -5.676553094,      -9.598483965
          0,           0,          68,      -6.293390534,      -6.184618372,      -6.489922067,       -6.54921186,      -5.692639409,      -9.596271464
          0,           0,          69,      -6.311063544,      -6.191223236,      -6.502089844,       -6.55964029,      -5.710046923,      -9.594492169
          0,           0,          70,      -6.329611074,      -6.197058557,      -6.514999874,      -6.571333009,       -5.72857943,      -9.593048403
          0,           0,          71,      -6.348801597,      -6.202072724,      -6.528733278,      -6.584448717,      -5.747942003,      -9.591838184
          0,           0,          72,      -6.368441624,      -6.206189994,      -6.543228903,      -6.598946053,      -5.767859141,      -9.590767405
          0,           0,          73,      -6.388332084,      -6.209384872,      -6.558302146,      -6.614522361,      -5.788032768,      -9.589765106
          0,           0,          74,      -6.408281632,      -6.211776203,      -6.573687684,      -6.630727092,      -5.808182748,      -9.588774837
          0,           0,          75,      -6.428134814,      -6.213553767,      -6.589079044,      -6.647014119,      -5.828091626,      -9.587755154
          0,           0,          76,      -6.447772933,       -6.21492376,      -6.604174291,      -6.662806551,      -5.847616883,       -9.58667773
          0,           0,          77,      -6.467121256,      -6.216097306,      -6.618722446,      -6.677625833,      -5.866703331,      -9.585527526
          0,           0,          78,      -6.486084841,      -6.217283619,      -6.632555859,      -6.691141376,      -5.885312951,      -9.584300454
          0,           0,          79,      -6.504572515,      -6.218681186,      -6.645609731,       -6.70325025,      -5.903440873,      -9.583008065
          0,           0,          80,      -6.522471377,      -6.220419046,       -6.65792427,      -6.714074151,      -5.921070449,      -9.581672068
          0,           0,          81,      -6.539638606,      -6.222587398,      -6.669623465,       -6.72392142,      -5.938145183,      -9.580305601
          0,           0,          82,      -6.555903159,      -6.225241938,      -6.680888389,      -6.733210408,      -5.954549002,      -9.578934647
          0,           0,          83,      -6.571086628,      -6.228382116,      -6.691907704,      -6.742362863,      -5.970110453,      -9.577584102
          0,           0,          84,      -6.585019123,      -6.231996255,      -6.702834693,      -6.751712997,      -5.984610609,      -9.576267694
          0,           0,          85,      -6.597601337,      -6.236042511,      -6.713752299,      -6.761446812,      -5.997849543,      -9.575012566
          0,           0,          86,      -6.608823174,      -6.240475438,      -6.724649423,      -6.771589673,      -6.009682547,      -9.573840693
          0,           0,          87,      -6.618788343,      -6.245247319,       -6.73542929,      -6.782007498,      -6.020076591,      -9.572787948
          0,           0,          88,      -6.627718532,      -6.250312364,      -6.745930887,      -6.792440101,      -6.029148137,      -9.571842789
          0,           0,          89,      -6.635919165,      -6.255625887,      -6.755969441,      -6.802550024,      -6.037149605,      -9.571022709
          0,           0,          90,      -6.643756265,      -6.261157836,      -6.765381735,      -6.812001491,      -6.044454905,       -9.57032865
          0,           0,          91,      -6.651620196,      -6.266893489,      -6.774068751,      -6.820521386,      -6.051512878,      -9.569763298
          0,           0,          92,      -6.659857755,      -6.272794333,      -6.782023304,      -6.827960155,      -6.058759274,      -9.569322955
          0,           0,          93,      -6.668779963,      -6.278828513,      -6.789338483,       -6.83435919,      -6.066611601,      -9.569002628
          0,           0,          94,      -6.678642402,      -6.284958319,      -6.796196772,      -6.839930564,      -6.075430661,      -9.568790209
          0,           0,          95,      -6.689593389,      -6.291134656,      -6.802840514,      -6.844995756,      -6.085452818,      -9.568676433
          0,           0,          96,      -6.701699259,      -6.297302441,      -6.809540752,      -6.849962887,      -6.096813665,      -9.568640956
          0,           0,          97,      -6.714963117,      -6.303411166,      -6.816555565,      -6.855254464,      -6.109562615,      -9.568667988
          0,           0,          98,      -6.729276864,      -6.309385673,      -6.824104943,      -6.861230594,      -6.123605384,      -9.568742687
          0,           0,          99,      -6.744517161,      -6.315155415,      -6.832348658,      -6.868194189,      -6.138809113,      -9.568852738
          0,           0,         100,       -6.76046587,      -6.320663416,       -6.84136998,      -6.876313696,      -6.154912141,      -9.568976172
          0,           0,         101,       -6.77689417,      -6.325858842,      -6.851174852,      -6.885647712,      -6.171619733,      -9.569097409
          0,           0,         102,      -6.793567934,      -6.330709431,      -6.861694895,      -6.896129683,      -6.188612595,      -9.569204492
          0,           0,         103,      -6.810246447,      -6.335200797,      -6.872798718,      -6.907592118,      -6.205561058,      -9.569283022
          0,           0,         104,       -6.82668775,        -6.3393381,      -6.884306494,        -6.9197841,      -6.222146717,      -9.569320718
          0,           0,         105,      -6.842661778,      -6.343142944,       -6.89601126,      -6.932400282,      -6.238089697,      -9.569305606
          0,           0,         106,       -6.85795678,      -6.346650835,      -6.907706562,      -6.945114999,      -6.253165511,      -9.569227771
          0,           0,         107,      -6.872389514,      -6.349908445,      -6.919212462,      -6.957624786,      -6.267219174,      -9.569083775
          0,           0,         108,       -6.88580786,      -6.352968048,      -6.930395725,      -6.969692025,      -6.280163228,      -9.568870069
          0,           0,         109,      -6.898096851,      -6.355883952,      -6.941184916,       -6.98117619,      -6.291970955,      -9.568580659
          0,           0,         110,      -6.909173955,      -6.358712818,      -6.951571459,      -6.992043575,      -6.302652691,      -9.568214901
          0,           0,         111,      -6.918990818,      -6.361503428,      -6.961605354,       -7.00237701,      -6.312240813,      -9.567777324
          0,           0,         112,      -6.927593019,      -6.364299543,      -6.971381096,      -7.012332526,       -6.32083315,      -9.567270353
          0,           0,         113,      -6.935054286,       -6.36713916,      -6.981013143,      -7.022095785,      -6.328513112,      -9.566699047
          0,           0,         114,      -6.941485987,      -6.370053406,      -6.990613031,      -7.031860399,       -6.33536186,      -9.566068671
          0,           0,         115,       -6.94704537,      -6.373066012,      -7.000266866,      -7.041787918,      -6.341471638,      -9.565389886
          0,           0,         116,      -6.951939902,      -6.376195246,      -7.010019408,      -7.051975039,      -6.346963438,      -9.564672493
          0,           0,         117,      -6.956406159,      -6.379454215,      -7.019869132,      -7.062438714,      -6.351982451,      -9.563928244
          0,           0,         118,      -6.960698562,      -6.382845926,      -7.029772047,      -7.073115651,      -6.356704522,      -9.563169527
          0,           0,         119,      -6.965063189,      -6.386368858,      -7.039653099,      -7.083877011,       -6.36132162,      -9.562392649
          0,           0,         120,      -6.969727332,      -6.390065942,      -7.049423657,      -7.094557833,      -6.366037775,      -9.561612462
          0,           0,         121,      -6.974892225,      -6.393905019,      -7.059000744,      -7.104985245,      -6.371061431,      -9.560840153
          0,           0,         122,      -6.980711659,      -6.397879472,      -7.068326019,      -7.115014033,      -6.376578555,      -9.560083994
          0,           0,         123,      -6.987291103,      -6.401980622,      -7.077378334,       -7.12455466,       -6.38274292,      -9.559351846
          0,           0,         124,      -6.994684601,      -6.406193864,      -7.086179206,      -7.133593841,      -6.389664418,      -9.558646945
          0,           0,         125,       -7.00289386,      -6.410498874,      -7.094790981,      -7.142196486,       -6.39740079,       -9.55797195
          0,           0,         126,      -7.011871307,      -6.414870644,       -7.10330885,      -7.150495698,      -6.405954442,      -9.557330723
          0,           0,         127,      -7.021524998,      -6.419279913,      -7.111847183,      -7.158671682,       -6.41527249,      -9.556725008
          0,           0,         128,      -7.031722805,      -6.423694468,      -7.120524187,      -7.166921399,      -6.425247384,      -9.556154208
          0,           0,         129,       -7.04230144,      -6.428080034,      -7.129445313,      -7.175433097,      -6.435723656,      -9.555617154
          0,           0,         130,      -7.053074787,      -6.432402268,      -7.138691894,      -7.184362076,      -6.446505806,      -9.555112989
          0,           0,         131,      -7.063841096,      -6.436628732,      -7.148312788,      -7.193813324,      -6.457367542,      -9.554638998
          0,           0,         132,      -7.074384866,      -6.440730414,      -7.158319001,      -7.203831886,      -6.468056506,      -9.554190222
          0,           0,         133,      -7.084513137,       -6.44468338,        -7.1686843,      -7.214403201,      -6.478339674,      -9.553762589
          0,           0,         134,      -7.094053634,      -6.448469998,      -7.179349228,      -7.225452643,      -6.488006428,      -9.553351275
          0,           0,         135,      -7.102857294,      -6.452079554,      -7.190228564,       -7.23686266,      -6.496879044,      -9.552952273
          0,           0,         136,      -7.110802906,      -6.455508664,      -7.201221587,      -7.248490294,      -6.504823115,      -9.552561917
          0,           0,         137,      -7.117794364,         -6.458761,      -7.212224366,      -7.260188779,      -6.511746602,       -9.55217654
          0,           0,         138,      -7.123826684,      -6.461846833,      -7.223143732,      -7.271826651,      -6.517668921,      -9.551792532
          0,           0,         139,      -7.128911262,      -6.464781809,      -7.233904046,      -7.283280117,      -6.522632376,      -9.551408718
          0,           0,         140,      -7.133089877,       -6.46758577,      -7.244457742,      -7.294477168,      -6.526715056,      -9.551022453
          0,           0,         141,       -7.13644966,      -6.470281616,      -7.254788125,      -7.305405651,      -6.530039182,      -9.550631554
          0,           0,         142,      -7.139093056,      -6.472893982,      -7.264905823,      -7.316098845,      -6.532732641,      -9.550235155
          0,           0,         143,      -7.141143104,      -6.475448183,      -7.274842883,        -7.3266262,      -6.534930633,      -9.549832922
          0,           0,         144,      -7.142735588,      -6.477968982,      -7.284643791,      -7.337078037,      -6.536766205,      -9.549424045
          0,           0,         145,      -7.144017999,      -6.480479837,      -7.294354475,      -7.347548149,      -6.538370952,      -9.549007105
          0,           0,         146,      -7.145140609,      -6.483002119,      -7.304011508,      -7.358115639,      -6.539869258,      -9.548581805
          0,           0,         147,      -7.146251152,      -6.485554645,      -7.313634416,      -7.368832138,      -6.541377775,      -9.548150204
          0,           0,         148,      -7.147489292,      -6.488153087,      -7.323222136,      -7.379712821,      -6.543004924,      -9.547714773
          0,           0,         149,      -7.148982201,      -6.490808957,      -7.332752885,      -7.390732759,      -6.544850939,       -9.54727887
          0,           0,         150,      -7.150839169,      -6.493533755,      -7.342188141,        -7.4018326,      -6.547005306,      -9.546843659
          0,           0,         151,      -7.153147839,      -6.496332666,       -7.35147992,      -7.412927395,      -6.549544692,      -9.546412085
          0,           0,         152,      -7.155971927,      -6.499206305,      -7.360580014,      -7.423922085,      -6.552530829,      -9.545987246
          0,           0,         153,      -7.159348073,      -6.502152714,      -7.369448147,      -7.434726572,      -6.556006375,      -9.545572347
          0,           0,         154,      -7.163284392,       -6.50516594,      -7.378060432,       -7.44527189,      -6.559991594,      -9.545169745
