"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          63,      -9.314089141,      -9.292606902,      -9.155387811,      -8.953195331,      -8.694100609
          0,           0,          64,      -9.391031967,      -9.376237334,      -9.235204799,      -9.034974788,      -8.766477924
          0,           0,          65,      -9.458964648,      -9.451221937,      -9.303392507,      -9.108526725,      -8.840681143
          0,           0,          66,      -9.530357894,      -9.528480568,      -9.380433174,      -9.188558302,      -8.911365995
          0,           0,          67,      -9.603661626,      -9.599332275,      -9.458731325,       -9.26838352,      -8.979599409
          0,           0,          68,      -9.664161806,       -9.66128742,      -9.525891208,      -9.337587721,      -9.048071652
          0,           0,          69,      -9.728386513,      -9.722682173,      -9.598485602,      -9.409259105,      -9.111420038
          0,           0,          70,      -9.796092271,      -9.780777632,      -9.667540743,      -9.476280902,      -9.174649118
          0,           0,          71,      -9.853978744,      -9.836648124,      -9.725332383,      -9.534681413,      -9.239694835
          0,           0,          72,      -9.918600916,      -9.894826755,      -9.784447129,      -9.593121635,      -9.302882808
          0,           0,          73,       -9.98524928,      -9.948289421,        -9.8340077,       -9.64226176,      -9.364431713
          0,           0,          74,      -10.04390762,      -10.00647536,      -9.878895285,      -9.688372069,      -9.431161117
          0,           0,          75,      -10.10852478,      -10.06538455,      -9.924667536,      -9.735268051,      -9.492977021
          0,           0,          76,      -10.17155135,      -10.12105058,      -9.962666135,      -9.775330743,      -9.549999762
          0,           0,          77,      -10.22183714,      -10.17840525,      -10.00227317,      -9.815866152,      -9.610143236
          0,           0,          78,       -10.2775046,      -10.23691961,      -10.04547042,      -9.858611967,      -9.662610444
          0,           0,          79,      -10.33380272,      -10.29245009,      -10.08591171,      -9.898872025,      -9.712459106
          0,           0,          80,      -10.37422133,      -10.34306562,      -10.12690811,      -9.939838432,      -9.762883168
          0,           0,          81,      -10.42423082,      -10.39833127,      -10.17459438,      -9.986178846,      -9.810531317
          0,           0,          82,      -10.47465403,      -10.44289155,      -10.22075794,      -10.03054817,      -9.853534712
          0,           0,          83,      -10.51354107,      -10.48957324,      -10.26651958,      -10.07589513,      -9.903537685
          0,           0,          84,      -10.55965155,      -10.53086661,      -10.31920241,      -10.12730466,      -9.945774401
          0,           0,          85,      -10.60595258,      -10.56431528,      -10.37440243,      -10.18079207,      -9.986012506
          0,           0,          86,       -10.6386497,      -10.60190588,      -10.42614792,      -10.23326328,      -10.02931077
          0,           0,          87,      -10.67780762,      -10.63673507,      -10.48893034,      -10.29452077,      -10.06498131
          0,           0,          88,      -10.71703717,      -10.66512452,      -10.55785622,      -10.36078901,      -10.09631889
          0,           0,          89,      -10.74534775,      -10.70455215,      -10.62025017,      -10.42381981,      -10.13704687
          0,           0,          90,      -10.78145809,      -10.74634181,       -10.6962115,      -10.49798873,      -10.16913436
          0,           0,          91,      -10.82444734,      -10.79131403,      -10.78195143,      -10.58071658,      -10.20291467
          0,           0,          92,      -10.85930132,      -10.84426046,      -10.85778547,      -10.65753695,      -10.25123634
          0,           0,          93,      -10.90298384,      -10.90106133,      -10.94880764,      -10.74667642,      -10.29058561
          0,           0,          94,      -10.95926899,       -10.9627632,       -11.0495796,      -10.84460901,      -10.33680804
          0,           0,          95,      -11.00708634,      -11.02235867,      -11.13455725,      -10.93207738,      -10.39626129
          0,           0,          96,      -11.06327877,       -11.0841439,      -11.23238423,      -11.02993289,      -10.44927069
          0,           0,          97,      -11.13242123,      -11.13966232,      -11.33174786,      -11.12999087,      -10.50747534
          0,           0,          98,      -11.19088512,      -11.19154664,      -11.41050405,      -11.21577096,      -10.57779895
          0,           0,          99,      -11.25434648,      -11.23010676,      -11.49296966,        -11.302366,      -10.63769259
          0,           0,         100,      -11.32420618,      -11.25765076,      -11.56627757,      -11.37912286,      -10.69908817
          0,           0,         101,      -11.37746153,      -11.28795044,      -11.61062335,      -11.43732612,      -10.76395519
          0,           0,         102,      -11.43018297,      -11.30885654,      -11.65094201,      -11.48224519,      -10.81418952
          0,           0,         103,      -11.47880332,      -11.32262164,      -11.66522581,      -11.49896339,      -10.85523959
          0,           0,         104,      -11.51073281,      -11.35012232,      -11.66718609,      -11.50836814,      -10.90110416
          0,           0,         105,      -11.54675915,        -11.381117,      -11.67226766,      -11.51055715,      -10.93475453
          0,           0,         106,      -11.58233949,      -11.41176367,      -11.66144199,      -11.49999935,       -10.9604535
          0,           0,         107,      -11.60889089,      -11.45360128,      -11.65882596,      -11.50205265,      -11.00054038
          0,           0,         108,      -11.64164452,      -11.50046624,      -11.65779803,      -11.49852969,      -11.02921193
          0,           0,         109,      -11.68160416,      -11.54919213,      -11.64942327,      -11.48648144,      -11.05939236
          0,           0,         110,      -11.71606448,      -11.60104886,      -11.65407868,      -11.49233594,      -11.10577899
          0,           0,         111,      -11.75784243,      -11.65852991,      -11.66776535,      -11.50564934,      -11.14436054
          0,           0,         112,      -11.80867582,      -11.71695212,      -11.68399516,      -11.52265655,       -11.1862169
          0,           0,         113,      -11.85393319,      -11.77289728,      -11.70544029,      -11.54976467,       -11.2413064
          0,           0,         114,        -11.904745,      -11.83097449,       -11.7411663,      -11.58761344,        -11.289891
          0,           0,         115,      -11.96107114,      -11.88342955,      -11.78135562,      -11.63174049,      -11.33915964
          0,           0,         116,      -12.01116079,        -11.933946,      -11.81411702,      -11.67768165,      -11.39754323
